i \in I,s \in S,h_is
271,s1,15845.0
271,s2,95750.38
272,s1,12166.0
272,s2,70650.32
273,s1,12323.0
273,s2,69885.09
274,s1,5961.0
274,s2,36339.888
275,s1,19557.0
275,s2,117012.58
276,s1,21437.0
276,s2,125752.08
277,s1,14664.0
277,s2,86984.44
278,s1,10212.0
278,s2,61302.1
279,s1,23033.0
279,s2,144236.0
280,s1,11277.0
280,s2,75142.81
281,s1,12902.0
281,s2,85123.52
282,s1,18251.0
282,s2,117799.97
283,s1,55513.0
283,s2,355227.18
284,s1,17354.0
284,s2,105387.7
285,s1,35223.0
285,s2,199070.24
286,s1,24529.0
286,s2,149990.73
287,s1,20858.0
287,s2,142246.16
288,s1,13305.0
288,s2,83719.5
289,s1,11740.0
289,s2,68002.22
290,s1,20152.0
290,s2,128821.18
291,s1,34980.0
291,s2,238991.38
292,s1,13168.0
292,s2,86586.3
293,s1,13963.0
293,s2,90839.96
294,s1,19530.0
294,s2,113357.66
295,s1,50619.0
295,s2,291659.23
296,s1,43697.0
296,s2,252800.33
297,s1,20072.0
297,s2,113725.85
298,s1,38528.0
298,s2,219988.11
299,s1,16085.0
299,s2,94269.57
300,s1,8062.0
300,s2,53160.08
301,s1,20425.0
301,s2,139296.28
302,s1,11818.0
302,s2,73169.71
303,s1,11771.0
303,s2,74438.96
304,s1,10559.0
304,s2,69149.57
305,s1,21880.0
305,s2,132052.13
306,s1,6632.0
306,s2,34247.29
307,s1,14434.0
307,s2,94077.46
308,s1,13900.0
308,s2,85170.25
309,s1,14171.0
309,s2,83760.87
310,s1,4613.0
310,s2,27761.5
311,s1,21309.0
311,s2,146382.81
312,s1,17563.0
312,s2,107319.66
313,s1,9144.0
313,s2,57193.7
314,s1,34360.0
314,s2,195628.67
315,s1,9376.0
315,s2,56228.0
316,s1,21591.0
316,s2,133645.27
317,s1,15493.0
317,s2,94640.0
318,s1,38219.0
318,s2,231728.47
319,s1,121640.0
319,s2,797814.21
320,s1,13321.0
320,s2,76924.52
321,s1,47118.0
321,s2,293364.13
322,s1,51466.0
322,s2,327489.13
323,s1,18819.0
323,s2,130430.64
324,s1,12234.0
324,s2,73694.96
325,s1,30032.0
325,s2,191735.39
326,s1,47990.0
326,s2,311597.32
327,s1,14156.0
327,s2,87906.13
328,s1,58933.0
328,s2,381058.09
329,s1,16025.0
329,s2,104082.09
330,s1,69071.0
330,s2,421875.88
331,s1,10366.0
331,s2,59277.21
332,s1,6811.0
332,s2,44552.94
333,s1,26936.0
333,s2,131318.8
334,s1,14878.0
334,s2,89009.82
335,s1,13914.0
335,s2,83334.31
336,s1,7695.0
336,s2,47297.94
337,s1,9193.0
337,s2,62526.31
338,s1,21365.0
338,s2,139389.15
339,s1,9412.0
339,s2,62059.26
340,s1,12213.0
340,s2,80832.89
341,s1,23426.0
341,s2,142153.4
342,s1,16592.0
342,s2,103666.06
343,s1,26113.0
343,s2,170687.84
344,s1,11717.0
344,s2,70716.25
