i \in I,j \in M,d_ij
3,E3,390.45505666133215
3,E4,551.5649148832126
3,E5,541.4638744738069
3,E6,546.4503221450792
3,E7,541.4380234874325
3,E8,614.644841340451
3,E9,523.803394768127
3,E10,528.2798487276247
3,E11,602.6502350499807
3,E12,503.0519731484594
3,E13,479.22022698235196
3,E14,402.7818674673325
3,E15,418.66749270218287
3,E16,387.7026571582692
3,E17,295.2542757614873
3,E18,398.24040874048615
3,E19,413.79954386067163
3,E20,434.2660760823251
3,E21,407.9322955745956
3,E22,423.22665081449884
3,E23,440.34438988149657
3,E24,434.8317273782742
3,E25,401.6917365100082
3,E26,386.5582483521052
3,E27,307.00602116958294
3,E28,316.16506381845
3,E29,388.82116820321966
3,E30,221.0488122114413
3,E31,207.923964372888
3,E32,227.00330867720882
3,E33,328.33687740704545
3,E34,185.1903688233628
3,E35,157.35299556328002
3,E36,98.61822115005332
3,E37,91.42016222986908
3,E38,207.4964984606929
3,E39,182.21959671612314
3,E40,184.8527457709257
3,E41,98.37505215413573
3,E42,15.789504274169458
3,E43,166.51496433659594
3,E44,240.54749287634692
3,E45,151.88269382844837
3,E46,286.73087681661826
3,P1,102.96067830951849
3,P2,552.2764137241845
3,P3,388.3977260605382
3,P4,407.8069267148771
3,P5,366.499360642288
3,P6,493.77408438751564
3,P7,534.6759359378648
3,P8,185.29643361810338
3,P9,199.74936519682026
3,P10,397.2114148039821
3,P11,479.81545277676145
3,P12,446.48333623026684
3,P13,419.0255429496633
3,P14,400.4845132422034
3,P15,419.8075609681417
3,P16,216.1843265780718
3,P17,430.1135298299199
3,P18,209.7407325947211
3,P19,159.1311902998101
3,P20,247.88683875587859
3,P21,166.59415675081988
3,P22,396.58812518110597
3,P23,241.3694631351436
3,P24,401.6559024506384
3,P25,407.8096721987084
3,P26,430.96161980861905
3,P27,397.5483284764138
3,P28,463.007147587539
3,P29,96.6025758273009
3,P30,65.58404512334712
3,P31,90.78392585115016
3,P32,393.70909599744374
3,P33,415.30320951950443
3,P34,181.442735932582
3,P35,450.2856029518698
3,P36,174.51319207593804
3,P37,422.0169503286925
3,P38,171.45564942808986
3,P39,200.029211414398
3,P40,310.73837075998773
3,P41,404.1927204528728
3,P42,378.5954283604059
3,P43,427.5195575928504
3,P44,144.54731428208865
3,P45,357.55417135187656
3,P46,441.37611145728295
3,P47,85.58385672505098
3,P48,240.2231435320594
3,P49,400.8243583867095
3,P50,520.6804757898991
4,E1,129.4951527283192
4,E2,59.76390296707109
4,E3,54.49027644898158
4,E4,193.0334754181628
4,E5,183.5369538786353
4,E6,185.175253023217
4,E7,179.84170135767215
4,E8,324.0218721942728
4,E9,349.2605721804273
4,E10,377.06067318030193
4,E11,416.52486095028064
4,E12,471.44653472659326
4,E13,431.89956002865864
4,E14,298.2829794465657
4,E15,308.08033702759326
4,E16,415.26767159260606
4,E17,302.3425091272972
4,E18,245.0765311134795
4,E19,570.3868212933073
4,E20,589.7875726117603
4,E21,512.9222254837847
4,E22,549.8021306656973
4,E23,570.7237799662221
4,E24,463.7311956924368
4,E25,560.5214794428836
4,E26,550.6172231893553
4,E27,495.1665923912305
4,E28,449.2121814932088
4,E29,484.5569117379371
4,E30,389.5352069411002
4,E31,363.85800714730294
4,E32,415.65628560850547
4,E33,600.6635225766753
4,E34,427.8719610851976
4,E35,422.9273707992948
4,E36,413.6155620865933
4,E37,387.8269968227362
4,E38,548.1442460653354
4,E39,308.3802288499419
4,E40,283.628061355368
4,E41,308.35169308187847
4,E42,359.6350852365673
4,E43,210.51350345340433
4,E44,206.21615780601294
4,E45,279.6925123202235
4,E46,147.35821140970057
4,P1,311.4761627415341
4,P2,185.4755544876622
4,P3,409.11722766325147
4,P4,529.1670131167042
4,P5,535.0474108204484
4,P6,434.0971995837957
4,P7,468.82821169316924
4,P8,382.17134349378426
4,P9,396.1632718474921
4,P10,505.05375079908947
4,P11,142.97328917670205
4,P12,581.4788781513996
4,P13,567.1028630812988
4,P14,520.4369296237957
4,P15,552.8846031004971
4,P16,391.64401685285617
4,P17,545.270633387461
4,P18,418.9949438685143
4,P19,245.52786632879702
4,P20,500.5342634033812
4,P21,450.3984760494043
4,P22,551.5234631879274
4,P23,499.15093848224376
4,P24,397.25609422670084
4,P25,551.109036911286
4,P26,532.2325037816202
4,P27,487.1882321879248
4,P28,610.4585029338283
4,P29,419.44945524610546
4,P30,387.00877607526724
4,P31,390.4215338655852
4,P32,45.810996607085556
4,P33,150.3776490691141
4,P34,426.2132399216073
4,P35,609.0500265221355
4,P36,303.07773104996056
4,P37,499.92058441949945
4,P38,209.67956819867734
4,P39,380.6205950087727
